embedding_dim,lstm_units,dropout,learning_rate,batch_size,trial,val_accuracy
64,35,0.22152730087726433,0.008619607041340443,32,0,0.561025857925415
32,76,0.3723529620870244,0.0024786304474569646,64,1,0.561025857925415
64,84,0.2638916065535304,0.005215611601850894,64,2,0.561025857925415
64,36,0.237181870992475,0.0003943451202713243,32,3,0.7128416299819946
128,107,0.43571671619998115,0.00031934988248542455,64,4,0.561025857925415
32,57,0.4852146146204097,0.0034112654131292605,32,5,0.561025857925415
64,103,0.2571639371834026,0.005794278936070082,32,6,0.561025857925415
128,125,0.2289004677369975,0.00020105597443441793,32,7,0.8556720614433289
32,47,0.35911291724838235,0.004176538290484744,64,8,0.561025857925415
128,86,0.23349828209299783,0.0004157476368905436,64,9,0.561025857925415
